日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
"1110503","4688894949","180830288964","1571288","16498.90","-93.28"
"1110504","4754572731","195351537180","1564910","16565.83","66.93"
"1110505","6028615995","257836488894","1933550","16696.12","130.29"
"1110506","6214594342","250334664889","2158434","16408.20","-287.92"
"1110509","6626190748","247771305595","2343245","16048.92","-359.28"
"1110510","6855098499","261492821867","2127278","16061.70","12.78"
"1110511","5626434601","210767188819","1909850","16006.25","-55.45"
"1110512","7290113467","263338772703","2529621","15616.68","-389.57"
"1110513","5956940781","228191135638","1827391","15832.54","215.86"
"1110516","6376545319","243191635358","2036345","15901.04","68.50"
"1110517","5579744656","210065666502","1722614","16056.09","155.05"
"1110518","6379939771","238361860415","1948035","16296.86","240.77"
"1110519","6370148170","239386921419","2019262","16020.32","-276.54"
"1110520","5309171723","201551803413","1615061","16144.85","124.53"
